Tissue,Disease,Species,symbol,ID,Platform,Type,Expression,Target,Pathway,Method,Drug,Function,PMID,Title,Year
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,SLC12A7,10723,Gene,mRNA,down-regulation,NA,NA,Data compilation; Statistical analysis etc.,no,"Consistent with repression of processes involved in the immune/inflammatory response, the downregulated list was enriched with genes bearing binding sites for the Interferon Response Factor (IRF) transcription factor (11 genes out of 158 in the annotation: DHX58, IDO1, IFI44, CASP1, PSMB9, PSMB10, SLC15A3, UBA7, ASPA, SLC12A7, TAP1, p = 4.2E-6) And the Interferon Consensus Sequence Binding Protein (ICSBP) transcription factor (9 genes out of 203 in the annotation : IDO1, IFI44, PSMB9, SLC15A3, IFI35, UBA7, ASPA, SLC12A7, TAP1; P = 3.2E-3).",27983601,Transcriptome of Cultured Lung Fibroblasts in Idiopathic Pulmonary Fibrosis: Meta-Analysis of Publically Available Microarray Datasets Reveals Repression of Inflammation and Immunity Pathways,2016
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,TAP1,6890,Gene,mRNA,down-regulation,NA,NA,Data compilation; Statistical analysis etc.,no,"Consistent with repression of processes involved in the immune/inflammatory response, the downregulated list was enriched with genes bearing binding sites for the Interferon Response Factor (IRF) transcription factor (11 genes out of 158 in the annotation: DHX58, IDO1, IFI44, CASP1, PSMB9, PSMB10, SLC15A3, UBA7, ASPA, SLC12A7, TAP1, p = 4.2E-6) And the Interferon Consensus Sequence Binding Protein (ICSBP) transcription factor (9 genes out of 203 in the annotation : IDO1, IFI44, PSMB9, SLC15A3, IFI35, UBA7, ASPA, SLC12A7, TAP1; P = 3.2E-3).",27983601,Transcriptome of Cultured Lung Fibroblasts in Idiopathic Pulmonary Fibrosis: Meta-Analysis of Publically Available Microarray Datasets Reveals Repression of Inflammation and Immunity Pathways,2016
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,IFI35,3430,Gene,mRNA,down-regulation,NA,NA,Data compilation; Statistical analysis etc.,no,"Consistent with repression of processes involved in the immune/inflammatory response, the downregulated list was enriched with genes bearing binding sites for the Interferon Response Factor (IRF) transcription factor (11 genes out of 158 in the annotation: DHX58, IDO1, IFI44, CASP1, PSMB9, PSMB10, SLC15A3, UBA7, ASPA, SLC12A7, TAP1, p = 4.2E-6) And the Interferon Consensus Sequence Binding Protein (ICSBP) transcription factor (9 genes out of 203 in the annotation : IDO1, IFI44, PSMB9, SLC15A3, IFI35, UBA7, ASPA, SLC12A7, TAP1; P = 3.2E-3).",27983601,Transcriptome of Cultured Lung Fibroblasts in Idiopathic Pulmonary Fibrosis: Meta-Analysis of Publically Available Microarray Datasets Reveals Repression of Inflammation and Immunity Pathways,2016
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,CCN2,1490,Gene,mRNA,up-regulation,NA,NA,Data compilation; Statistical analysis etc.,no,"CTGF, a member of the CCN protein family, is a highly potent extracellular matrix-associated mitogen. In vitro, CTGF induces collagen-1 expression in lung fibroblasts [20]. In vivo, overexpression of CTGF in fibroblasts drives fibrogenesis in multiple organs including the lung [21]. CTGF is overexpressed in IPF, with expression localized to alveolar epithelial cells and fibroblasts [22]. Consistent for a role of CTGF in IPF, a recent open-label uncontrolled study suggested that a monoclonal antibody targeting CTGF, FG-3019, may be beneficial in a subset of IPF patients in terms of lung function decline and imaging-assessed fibrotic changes [23].",27983601,Transcriptome of Cultured Lung Fibroblasts in Idiopathic Pulmonary Fibrosis: Meta-Analysis of Publically Available Microarray Datasets Reveals Repression of Inflammation and Immunity Pathways,2016
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,CTHRC1,115908,Gene,mRNA,up-regulation,NA,NA,Cell Culture; Microarray Statistical Data Analysis; Gene Expression Analysis,no,"Cthrc1 is expressed by fibroblasts, is involved in vascular remodeling, and decreases collagen matrix deposition . Cthrc1 is a downstream target of bone morphogenic protein-SMAD signaling, inhibits TGF-beta expression in neointimal lesion formation, and acts as a Wnt cofactor, possibly contributing to the promotion of cell motility. ",25029475,A novel genomic signature with translational significance for human idiopathic pulmonary fibrosis,2015
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,PTGS2,5743,Gene,mRNA,down-regulation,NA,NA,qRT-PCR; Statistical analysis etc.,no,"Cyclooxygenase-2, a key regulatory enzyme in the synthesis of the antifibrotic agent prostaglandin E2, is downregulated in lung tissue from patients with idiopathic pulmonary fibrosis.",21319594,A haplotype of cyclooxygenase-2 gene is associated with idiopathic pulmonary fibrosis,2010
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,TCIM,56892,Gene,mRNA,dna hypermethylation,NA,NA,qRT-PCR; Immunohistochemistry;  etc.,no,"Decreased capacity of fibrotic lung fibroblasts to up-regulate COX-2 expression and COX-2-derived PGE2 synthesis is due to an indirect epigenetic mechanism involving hypermethylation of the transcriptional regulator, c8orf4.",26744410,Epigenetic regulation of cyclooxygenase-2 by methylation of c8orf4 in pulmonary fibrosis,2016
lung,cystic_fibrosis,homo_sapiens,HMOX1,3162,Gene,mRNA,dna methylation,NA,NA,DNA methylation correlations in CF cells; DNA methylation analysis in NEC; DNA methylation at HMOX1 was not associated with nearby polymorphisms etc.,no,DNA methylation levels are altered in nasal epithelial and blood cell samples from CF patients. Analysis of CFTR and 13 lung disease modifier genes shows DNA methylation changes of small magnitude: some of them are a consequence of the disease; Other changes may result in small expression variations that collectively modulate the lung disease severity. Three genes were differentially methylated in CF patients compared with controls and/or in groups of pulmonary severity: HMOX1 and GSTM3 in nasal epithelial samples; HMOX1 and EDNRA in blood samples. The association between pulmonary severity and DNA methylation at EDNRA was confirmed in blood samples from an independent set of CF patients.,28289476,DNA methylation at modifier genes of lung disease severity is altered in cystic fibrosis,2017
lung,cystic_fibrosis,homo_sapiens,EDNRA,1909,Gene,mRNA,dna methylation,NA,NA,DNA methylation correlations in CF cells; DNA methylation analysis in NEC; DNA methylation at HMOX1 was not associated with nearby polymorphisms etc.,no,DNA methylation levels are altered in nasal epithelial and blood cell samples from CF patients. Analysis of CFTR and 13 lung disease modifier genes shows DNA methylation changes of small magnitude: some of them are a consequence of the disease; Other changes may result in small expression variations that collectively modulate the lung disease severity. Three genes were differentially methylated in CF patients compared with controls and/or in groups of pulmonary severity: HMOX1 and GSTM3 in nasal epithelial samples; HMOX1 and EDNRA in blood samples. The association between pulmonary severity and DNA methylation at EDNRA was confirmed in blood samples from an independent set of CF patients.,28289476,DNA methylation at modifier genes of lung disease severity is altered in cystic fibrosis,2017
lung,cystic_fibrosis,homo_sapiens,GSTM3,2947,Gene,mRNA,dna methylation,NA,NA,DNA methylation correlations in CF cells; DNA methylation analysis in NEC; DNA methylation at HMOX1 was not associated with nearby polymorphisms etc.,no,DNA methylation levels are altered in nasal epithelial and blood cell samples from CF patients. Analysis of CFTR and 13 lung disease modifier genes shows DNA methylation changes of small magnitude: some of them are a consequence of the disease; Other changes may result in small expression variations that collectively modulate the lung disease severity. Three genes were differentially methylated in CF patients compared with controls and/or in groups of pulmonary severity: HMOX1 and GSTM3 in nasal epithelial samples; HMOX1 and EDNRA in blood samples. The association between pulmonary severity and DNA methylation at EDNRA was confirmed in blood samples from an independent set of CF patients.,28289476,DNA methylation at modifier genes of lung disease severity is altered in cystic fibrosis,2017
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,ABAT,18,Gene,mRNA,up-regulation,NA,NA,Data compilation; Statistical analysis etc.,no,"Enrichment in genes putatively regulated by the microRNA miR-153 was observed among upregulated transcripts (13 genes out of 153 in the annotation: ABAT, FAM168B, PPRC1, DVL3, ZMIZ1, MFAPL3, SLC38A1, XYLT1, ARL4A, ADO, FAM168A, PLEKHA3, AUTS2, p = 1.2E-2). Functional annotation analysis did not identify enrichment of Gene Ontology, pathway, functional class nor transcription factor binding site categories among transcripts upregulated in IPF fibroblasts.",27983601,Transcriptome of Cultured Lung Fibroblasts in Idiopathic Pulmonary Fibrosis: Meta-Analysis of Publically Available Microarray Datasets Reveals Repression of Inflammation and Immunity Pathways,2016
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,FAM168B,130074,Gene,mRNA,up-regulation,NA,NA,Data compilation; Statistical analysis etc.,no,"Enrichment in genes putatively regulated by the microRNA miR-153 was observed among upregulated transcripts (13 genes out of 153 in the annotation: ABAT, FAM168B, PPRC1, DVL3, ZMIZ1, MFAPL3, SLC38A1, XYLT1, ARL4A, ADO, FAM168A, PLEKHA3, AUTS2, p = 1.2E-2). Functional annotation analysis did not identify enrichment of Gene Ontology, pathway, functional class nor transcription factor binding site categories among transcripts upregulated in IPF fibroblasts.",27983601,Transcriptome of Cultured Lung Fibroblasts in Idiopathic Pulmonary Fibrosis: Meta-Analysis of Publically Available Microarray Datasets Reveals Repression of Inflammation and Immunity Pathways,2016
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,PPRC1,23082,Gene,mRNA,up-regulation,NA,NA,Data compilation; Statistical analysis etc.,no,"Enrichment in genes putatively regulated by the microRNA miR-153 was observed among upregulated transcripts (13 genes out of 153 in the annotation: ABAT, FAM168B, PPRC1, DVL3, ZMIZ1, MFAPL3, SLC38A1, XYLT1, ARL4A, ADO, FAM168A, PLEKHA3, AUTS2, p = 1.2E-2). Functional annotation analysis did not identify enrichment of Gene Ontology, pathway, functional class nor transcription factor binding site categories among transcripts upregulated in IPF fibroblasts.",27983601,Transcriptome of Cultured Lung Fibroblasts in Idiopathic Pulmonary Fibrosis: Meta-Analysis of Publically Available Microarray Datasets Reveals Repression of Inflammation and Immunity Pathways,2016
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,DVL3,1857,Gene,mRNA,up-regulation,NA,NA,Data compilation; Statistical analysis etc.,no,"Enrichment in genes putatively regulated by the microRNA miR-153 was observed among upregulated transcripts (13 genes out of 153 in the annotation: ABAT, FAM168B, PPRC1, DVL3, ZMIZ1, MFAPL3, SLC38A1, XYLT1, ARL4A, ADO, FAM168A, PLEKHA3, AUTS2, p = 1.2E-2). Functional annotation analysis did not identify enrichment of Gene Ontology, pathway, functional class nor transcription factor binding site categories among transcripts upregulated in IPF fibroblasts.",27983601,Transcriptome of Cultured Lung Fibroblasts in Idiopathic Pulmonary Fibrosis: Meta-Analysis of Publically Available Microarray Datasets Reveals Repression of Inflammation and Immunity Pathways,2016
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,ZMIZ1,57178,Gene,mRNA,up-regulation,NA,NA,Data compilation; Statistical analysis etc.,no,"Enrichment in genes putatively regulated by the microRNA miR-153 was observed among upregulated transcripts (13 genes out of 153 in the annotation: ABAT, FAM168B, PPRC1, DVL3, ZMIZ1, MFAPL3, SLC38A1, XYLT1, ARL4A, ADO, FAM168A, PLEKHA3, AUTS2, p = 1.2E-2). Functional annotation analysis did not identify enrichment of Gene Ontology, pathway, functional class nor transcription factor binding site categories among transcripts upregulated in IPF fibroblasts.",27983601,Transcriptome of Cultured Lung Fibroblasts in Idiopathic Pulmonary Fibrosis: Meta-Analysis of Publically Available Microarray Datasets Reveals Repression of Inflammation and Immunity Pathways,2016
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,SLC38A1,81539,Gene,mRNA,up-regulation,NA,NA,Data compilation; Statistical analysis etc.,no,"Enrichment in genes putatively regulated by the microRNA miR-153 was observed among upregulated transcripts (13 genes out of 153 in the annotation: ABAT, FAM168B, PPRC1, DVL3, ZMIZ1, MFAPL3, SLC38A1, XYLT1, ARL4A, ADO, FAM168A, PLEKHA3, AUTS2, p = 1.2E-2). Functional annotation analysis did not identify enrichment of Gene Ontology, pathway, functional class nor transcription factor binding site categories among transcripts upregulated in IPF fibroblasts.",27983601,Transcriptome of Cultured Lung Fibroblasts in Idiopathic Pulmonary Fibrosis: Meta-Analysis of Publically Available Microarray Datasets Reveals Repression of Inflammation and Immunity Pathways,2016
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,XYLT1,64131,Gene,mRNA,up-regulation,NA,NA,Data compilation; Statistical analysis etc.,no,"Enrichment in genes putatively regulated by the microRNA miR-153 was observed among upregulated transcripts (13 genes out of 153 in the annotation: ABAT, FAM168B, PPRC1, DVL3, ZMIZ1, MFAPL3, SLC38A1, XYLT1, ARL4A, ADO, FAM168A, PLEKHA3, AUTS2, p = 1.2E-2). Functional annotation analysis did not identify enrichment of Gene Ontology, pathway, functional class nor transcription factor binding site categories among transcripts upregulated in IPF fibroblasts.",27983601,Transcriptome of Cultured Lung Fibroblasts in Idiopathic Pulmonary Fibrosis: Meta-Analysis of Publically Available Microarray Datasets Reveals Repression of Inflammation and Immunity Pathways,2016
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,ARL4A,10124,Gene,mRNA,up-regulation,NA,NA,Data compilation; Statistical analysis etc.,no,"Enrichment in genes putatively regulated by the microRNA miR-153 was observed among upregulated transcripts (13 genes out of 153 in the annotation: ABAT, FAM168B, PPRC1, DVL3, ZMIZ1, MFAPL3, SLC38A1, XYLT1, ARL4A, ADO, FAM168A, PLEKHA3, AUTS2, p = 1.2E-2). Functional annotation analysis did not identify enrichment of Gene Ontology, pathway, functional class nor transcription factor binding site categories among transcripts upregulated in IPF fibroblasts.",27983601,Transcriptome of Cultured Lung Fibroblasts in Idiopathic Pulmonary Fibrosis: Meta-Analysis of Publically Available Microarray Datasets Reveals Repression of Inflammation and Immunity Pathways,2016
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,ADO,84890,Gene,mRNA,up-regulation,NA,NA,Data compilation; Statistical analysis etc.,no,"Enrichment in genes putatively regulated by the microRNA miR-153 was observed among upregulated transcripts (13 genes out of 153 in the annotation: ABAT, FAM168B, PPRC1, DVL3, ZMIZ1, MFAPL3, SLC38A1, XYLT1, ARL4A, ADO, FAM168A, PLEKHA3, AUTS2, p = 1.2E-2). Functional annotation analysis did not identify enrichment of Gene Ontology, pathway, functional class nor transcription factor binding site categories among transcripts upregulated in IPF fibroblasts.",27983601,Transcriptome of Cultured Lung Fibroblasts in Idiopathic Pulmonary Fibrosis: Meta-Analysis of Publically Available Microarray Datasets Reveals Repression of Inflammation and Immunity Pathways,2016
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,FAM168A,23201,Gene,mRNA,up-regulation,NA,NA,Data compilation; Statistical analysis etc.,no,"Enrichment in genes putatively regulated by the microRNA miR-153 was observed among upregulated transcripts (13 genes out of 153 in the annotation: ABAT, FAM168B, PPRC1, DVL3, ZMIZ1, MFAPL3, SLC38A1, XYLT1, ARL4A, ADO, FAM168A, PLEKHA3, AUTS2, p = 1.2E-2). Functional annotation analysis did not identify enrichment of Gene Ontology, pathway, functional class nor transcription factor binding site categories among transcripts upregulated in IPF fibroblasts.",27983601,Transcriptome of Cultured Lung Fibroblasts in Idiopathic Pulmonary Fibrosis: Meta-Analysis of Publically Available Microarray Datasets Reveals Repression of Inflammation and Immunity Pathways,2016
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,PLEKHA3,65977,Gene,mRNA,up-regulation,NA,NA,Data compilation; Statistical analysis etc.,no,"Enrichment in genes putatively regulated by the microRNA miR-153 was observed among upregulated transcripts (13 genes out of 153 in the annotation: ABAT, FAM168B, PPRC1, DVL3, ZMIZ1, MFAPL3, SLC38A1, XYLT1, ARL4A, ADO, FAM168A, PLEKHA3, AUTS2, p = 1.2E-2). Functional annotation analysis did not identify enrichment of Gene Ontology, pathway, functional class nor transcription factor binding site categories among transcripts upregulated in IPF fibroblasts.",27983601,Transcriptome of Cultured Lung Fibroblasts in Idiopathic Pulmonary Fibrosis: Meta-Analysis of Publically Available Microarray Datasets Reveals Repression of Inflammation and Immunity Pathways,2016
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,AUTS2,26053,Gene,mRNA,up-regulation,NA,NA,Data compilation; Statistical analysis etc.,no,"Enrichment in genes putatively regulated by the microRNA miR-153 was observed among upregulated transcripts (13 genes out of 153 in the annotation: ABAT, FAM168B, PPRC1, DVL3, ZMIZ1, MFAPL3, SLC38A1, XYLT1, ARL4A, ADO, FAM168A, PLEKHA3, AUTS2, p = 1.2E-2). Functional annotation analysis did not identify enrichment of Gene Ontology, pathway, functional class nor transcription factor binding site categories among transcripts upregulated in IPF fibroblasts.",27983601,Transcriptome of Cultured Lung Fibroblasts in Idiopathic Pulmonary Fibrosis: Meta-Analysis of Publically Available Microarray Datasets Reveals Repression of Inflammation and Immunity Pathways,2016
lung,pulmonary_arterial_hypertension,homo_sapiens,CCL24,6369,Gene,mRNA,up-regulation,NA,NA,Biochemical staining; Immunostaining; ELISA etc.,no,Eotaxin-2/CCL24 but not eotaxin-3/CCL26 stimulated human lung fibroblast proliferation and collagen synthesis.,20143648,Eotaxin-2/CCL24 and eotaxin-3/CCL26 exert differential profibrogenic effects on human lung fibroblasts,2010
lung,pulmonary_arterial_hypertension,homo_sapiens,CCL26,10344,Gene,mRNA,up-regulation,NA,NA,Biochemical staining; Immunostaining; ELISA etc.,no,Eotaxin-3/CCL26 but not eotaxin-2/CCL24 promoted fibroblast migration.,20143648,Eotaxin-2/CCL24 and eotaxin-3/CCL26 exert differential profibrogenic effects on human lung fibroblasts,2010
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,CXCL10,3627,Gene,mRNA,histone modification,NA,NA,qRT-PCR; ELISA;  etc.,no,Epigenetic dysregulation involving interactions between histone deacetylation and hypermethylation is responsible for targeted repression of IP-10 and potentially other antifibrotic genes in fibrotic lung disease and that this is amenable to therapeutic targeting.,20404089,Repression of IP-10 by interactions between histone deacetylation and hypermethylation in idiopathic pulmonary fibrosis,2010
lung,pulmonary_hypertension,homo_sapiens,SOD3,6649,Gene,mRNA,histone acetylation,NA,JAK2/STAT3 signaling pathway; P44/42 ERK 1/2 signaling pathway,ROS Measurement; Mtt assay; EC-SOD Immunoprecipitation etc.,no,"Exposure of HPAECs to scriptaid, N[4 [(hydroxyamino)carbonyl] phenyl]-a-(1-methylethyl)-benzeneacetamide, and trichostatin A for 24 hours induced expression of extracellular superoxide dismutase (EC-SOD), whereas expression of the prooxidant gene NADPH oxidase 4 was decreased. Induction of EC-SOD expression was attenuated by the Janus kinase 2 protein kinase inhibitor AG490 and by silencing Janus kinase 2 expression. Augmentation of EC-SOD expression using scriptaid was associated with increased histone H3 (Lys27) acetylation and H3 (Lys4) trimethylation at the gene promoter.",25749103,Regulation of Oxidative Stress in Pulmonary Artery Endothelium  Modulation of Extracellular Superoxide Dismutase and NOX4 Expression Using Histone Deacetylase Class I Inhibitors,2015
lung,pulmonary_hypertension,homo_sapiens,NOX4,50507,Gene,mRNA,histone acetylation,NA,JAK2/STAT3 signaling pathway; P44/42 ERK 1/2 signaling pathway,ROS Measurement; Mtt assay; EC-SOD Immunoprecipitation etc.,no,"Exposure of HPAECs to scriptaid, N[4 [(hydroxyamino)carbonyl] phenyl]-a-(1-methylethyl)-benzeneacetamide, and trichostatin A for 24 hours induced expression of extracellular superoxide dismutase (EC-SOD), whereas expression of the prooxidant gene NADPH oxidase 4 was decreased. Induction of EC-SOD expression was attenuated by the Janus kinase 2 protein kinase inhibitor AG490 and by silencing Janus kinase 2 expression. Augmentation of EC-SOD expression using scriptaid was associated with increased histone H3 (Lys27) acetylation and H3 (Lys4) trimethylation at the gene promoter.",25749103,Regulation of Oxidative Stress in Pulmonary Artery Endothelium  Modulation of Extracellular Superoxide Dismutase and NOX4 Expression Using Histone Deacetylase Class I Inhibitors,2015
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,SMAD4,4089,Gene,mRNA,promoter hypermethylation,NA,NA,qRT-PCR; PCR-SSCP etc.,no,Expression levels of Smad4 were significantly lower in tumors from lung cancer/IPF patients than in those from lung cancer patients without IPF or in lung cancer cell lines. The loss of the growth inhibitory response to TGF-B signaling may be crucial in pulmonary carcinogensis or in the progression of lung cancer in IPF patients in whom TGF-B is overexpressed; Hypermethylation of the Smad4 promoter region may be one mechanism by which this occurs.,21475793,Reduced transcription of the Smad4 gene during pulmonary carcinogenesis in idiopathicpulmonary fibrosis,2009
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,PTGS2,5743,Gene,mRNA,histone acetylation,NA,NA,HDAC activity assay; ChIp assay; Reporter gene assay etc.,no,"HDAC inhibitors and the overexpression of HATs restored cytokine-induced COX-2 mRNA and protein expression in F-IPF. The results demonstrate that epigenetic abnormality in the form of histone hypoacetylation is responsible for diminished COX-2 expression in IPF. Diminished cyclooxygenase 2 (COX-2) expression in fibroblasts, with a resultant defect in the production of the antifibrotic mediator prostaglandin E(2), promote pathogenesis of idiopathic pulmonary fibrosis (IPF).",19487460,Defective histone acetylation is responsible for the diminished expression of cyclooxygenase 2 in idiopathic pulmonary fibrosis,2009
lung,Familial_Primary_Pulmonary_Hypertension,homo_sapiens,SMAD9,4093,Gene,mRNA,dysregulation,NA,NA, etc.,no,"Heritable pulmonary arterial hypertension (HPAH) associated BMPR2 and SMAD9 mutation completely abrogated noncanonical Smad-mediated microRNA (miR) processing, leading to miR-21 downregulation, contributing to vascular cell proliferation.",21920918,Altered MicroRNA processing in heritable pulmonary arterial hypertension: an important role for Smad-8,2011
lung,Familial_Primary_Pulmonary_Hypertension,homo_sapiens,BMPR2,659,Gene,mRNA,dysregulation,NA,NA, etc.,no,"Heritable pulmonary arterial hypertension (HPAH) associated BMPR2 and SMAD9 mutation completely abrogated noncanonical Smad-mediated microRNA (miR) processing, leading to miR-21 downregulation, contributing to vascular cell proliferation.",21920918,Altered MicroRNA processing in heritable pulmonary arterial hypertension: an important role for Smad-8,2011
lung,Idiopathic_Pulmonary_Arterial_Hypertension,homo_sapiens,SOD3,6649,Gene,mRNA,histone deacetylation,NA,NA,qRT-PCR;  SOD Activity etc.,no,"Histone deacetylation, specifically via class I HDAC3, decreases SOD3 expression in PASMC and HDAC inhibitors may protect IPAH in part by increasing PASMC SOD3 expression.",27233998,Histone deacetylation contributes to low extracellular superoxide dismutase expression in human idiopathic pulmonary arterial hypertension,2016
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,TLR9,54106,Gene,mRNA,dna hypomethylation,NA,NA,qRT-PCR;  etc.,no,"Hypomethylated CpG DNA drives the rapid progression of fibrotic lung disease through the differentiation of pulmonary fibroblasts into myofibroblasts through a TLR9-dependent mechanism; Toll-like receptor 9 (TLR9)-dependent macroautophagy drive the loss of Argonaute (AGO)1 and AGO2, leading to aberrant micro RNA processing, thereby promoting the rapid progression of IPF.",22802293,Epigenetic mechanisms through which Toll-like receptor-9 drives idiopathic pulmonary fibrosis progression,2012
lung,pulmonary_hypertension,homo_sapiens,DDAH1,23576,Gene,mRNA,up-regulation,DDAH1,NA,qRT-PCR;  Dual-luciferase reporter assay etc.,no,"Hypoxia inhibited DDAH1 and DDAH2 expression and increased ADMA levels in cultured human pulmonary endothelial cells. In contrast, in human pulmonary smooth muscle cells, only DDAH2 was reduced whereas ADMA levels remained unchanged. Endothelium-specific down-regulation of DDAH1 by miR-21 in hypoxia induced endothelial dysfunction and was prevented by overexpression of DDAH1 and miR-21 blockade. DDAH1, but not DDAH2, mRNA levels were reduced, whereas miR-21 levels were elevated in lung tissues from patients with pulmonary arterial hypertension and mice with pulmonary hypertension exposed to 2 weeks of hypoxia.",24895913,MiR-21/DDAH1 pathway regulates pulmonary vascular responses to hypoxia,2014
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,MNT,4335,Gene,mRNA,down-regulation,MNT,NA, qRT-PCR; Immunohistochemistry etc.,no,"Hypoxia potently stimulates miR-210 expression via HIF-2a, and high miR-210 expression drives fibroblast proliferation by repressing the c-myc inhibitor, MNT.",24951777,MiR-210 promotes IPF fibroblast proliferation in response to hypoxia,2014
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,EPAS1,2034,Gene,mRNA,down-regulation,MNT,NA, qRT-PCR; Immunohistochemistry etc.,no,"Hypoxia potently stimulates miR-210 expression via HIF-2a, and high miR-210 expression drives fibroblast proliferation by repressing the c-myc inhibitor, MNT.",24951777,MiR-210 promotes IPF fibroblast proliferation in response to hypoxia,2014
lung,pulmonary_fibrosis,homo_sapiens,TGFB1,7040,Gene,mRNA,histone hyperacetylation,NA,NF-kappaB signaling pathway; AP-1 signaling pathway,qRT-PCR;  ELISA etc.,no,"IL-1beta-stimulated transcription of TGF-Beta1 is temporally regulated by NF-kappaB and AP-1 and involves histone H3, H4 hyperacetylation at distinct promoter sites.",16365456,NF-kappaB and activator protein 1 response elements and the role of histone modifications in IL-1beta-induced TGF-Beta1 gene transcription,2006
lung,cystic_fibrosis,homo_sapiens,CXCL8,3576,Gene,mRNA,up-regulation,NA,NA,LD; Dual-luciferase reporter assay etc.,no,IL8 variants modify CF lung disease severity and have functional consequences.,18563170,Modulation of cystic fibrosis lung disease by variants in interleukin-9,2008
lung,pulmonary_fibrosis,homo_sapiens,CDH1,999,Gene,mRNA,promoter hypermethylation,NA,NA,Immunofluorescence;  qRT-PCR etc.,no,"In bronchial epithelial cells, NiCl(2) induced EMT phenotype marker alterations such as up-regulation of fibronectin and down-regulation of E-cadherin. In addition, the potent antioxidant N-acetylcysteine blocked EMT and expression of HIF-1a induced by NiCl(2), whereas the DNA methyltransferase inhibitor 5-aza-2'-deoxycytidine restored the down-regulation of E-cadherin induced by NiCl(2). Promoter hypermethylation of E-cadherin was also induced by NiCl(2).  Specifically, NiCl(2) induces down-regulation of E-cadherin by reactive oxygen species generation and promoter hypermethylation.",22648416,Nickel-induced epithelial-mesenchymal transition by reactive oxygen species generation and E-cadherin promoter hypermethylation,2012
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,COL3A1,1281,Gene,mRNA,histone hyperacetylation,NA,NA,qRT-PCR; Immunofluorescence; Immunohistochemistry etc.,no,"In fibrotic lung fibroblasts, reduced expression of COL3A1 by SAHA is with increased association of the repressive chromatin marker, H3K27Me3, and decreased association of the active chromatin marker, H3K9Ac. HDACi SAHA alters the chromatin associated with COL3A1, resulting in its decreased expression.",24084714,Histone Deacetylase Inhibition Downregulates Collagen 3A1 in Fibrotic Lung Fibroblasts,2013
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,WNT1,7471,Gene,mRNA,up-regulation,NA,WNT/B-CATENIN signaling pathway,Immunohistochemistry;  qRT-PCR etc.,no,"In IPF lung specimens, Wnt1, 7b, and 10b mRNA levels were markedly upregulated (log-fold change of 1.19+-0.43, 1.05+-0.43, And 1.58+-0.59, Respectively), whereas Wnt3a was significantly downregulated (log-fold change  1.93+-0.65).",18478089,Functional Wnt signaling is increased in idiopathic pulmonary fibrosis,2008
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,WNT7B,7477,Gene,mRNA,up-regulation,NA,WNT/B-CATENIN signaling pathway,Immunohistochemistry;  qRT-PCR etc.,no,"In IPF lung specimens, Wnt1, 7b, and 10b mRNA levels were markedly upregulated (log-fold change of 1.19+-0.43, 1.05+-0.43, And 1.58+-0.59, Respectively), whereas Wnt3a was significantly downregulated (log-fold change  1.93+-0.65).",18478089,Functional Wnt signaling is increased in idiopathic pulmonary fibrosis,2008
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,WNT10B,7480,Gene,mRNA,up-regulation,NA,WNT/B-CATENIN signaling pathway,Immunohistochemistry;  qRT-PCR etc.,no,"In IPF lung specimens, Wnt1, 7b, and 10b mRNA levels were markedly upregulated (log-fold change of 1.19+-0.43, 1.05+-0.43, And 1.58+-0.59, Respectively), whereas Wnt3a was significantly downregulated (log-fold change  1.93+-0.65).",18478089,Functional Wnt signaling is increased in idiopathic pulmonary fibrosis,2008
